web-scraper-order,web-scraper-start-url,product,product-href,product_name,product_rating,rating_amount,price,product_sold,condition,unit_weight,category,store_name,store_rating,store_location,description,image_1-src
"1661865075-756","https://www.tokopedia.com/search?navsource=&page=17&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","Wardah Colorfit Last All Day Lip Paint 06 Infinite CoralRp57.000Kab. TangerangMitraJC5.0Terjual 1","https://www.tokopedia.com/mitrajc/wardah-colorfit-last-all-day-lip-paint-06-infinite-coral?extParam=ivf%3Dfalse%26src%3Dsearch","Wardah Colorfit Last All Day Lip Paint 06 Infinite Coral","5","(1 rating)","Rp57.000","Terjual 1","Baru","42 Gram","Lip Cream","MitraJC","4.9","Kab. Tangerang","Longlasting Up To 12 Hours 
Non Transfer Formula
One Swipe Coverage

1. Aplikasikan lipstik pada bibir.
2. Gunakan jari atau aplikator untuk merapikan pulasan lipstik hingga ke bagian ujung bibir.
3. Gunakan hingga seluruh warna merata di bibir cantikmu.","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/10/18/99bc202c-6f98-46d8-b094-9fe464ea1d43.jpg.webp?ect=4g"
"1661859341-622","https://www.tokopedia.com/search?navsource=&page=19&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","NYX Powder Puff Lippie Lip CreamRp129.000Bogorrinz_makeuplover4.9Terjual 100+","https://www.tokopedia.com/rinz-makeuplover/nyx-powder-puff-lippie-lip-cream-03-group-love?extParam=ivf%3Dfalse%26src%3Dsearch","NYX Powder Puff Lippie Lip Cream - 03. group love","4.9","(32 rating)","Rp129.000","Terjual 100+","Baru","45 Gram","Lip Cream","rinz_makeuplover","4.8","Kota Bogor","NYX POWDER PUFF LIPPIE

-Hasil powdery soft-matte
-Aplikator yang lembut dan empuk

Dilengkapi aplikator bantal yang empuk, Powder Puff Lippie Powder Lip Cream baru kami memiliki tekstur unik seperti mousse dengan hasil akhir powdery lembut. Ciptakan tampilan bibir yang cantik dalam delapan warna yang menarik - dari peach hangat hingga merah, dan hot pink untuk hingga plum - untuk tampilan yang tidak tertahankan dan seperti baru saja dicium.

Tersedia warna :
01. Cool intentions
02. puppy love
03. group love
04. squad goal
05. teenage dream
06. pop quiz
07. moody
08. best buds","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/12/2/c959f05d-17fe-40ad-9296-521d3d7dd54d.jpg.webp?ect=4g"
"1661859922-670","https://www.tokopedia.com/search?navsource=&page=19&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","NYX Soft Matte Lip Cream (SMLC) ZURICHRp70.000BekasiMpok Manda5.0Terjual 6","https://www.tokopedia.com/mpokmanda/nyx-soft-matte-lip-cream-smlc-zurich?extParam=ivf%3Dfalse%26src%3Dsearch","NYX Soft Matte Lip Cream (SMLC) ZURICH","5","(3 rating)","Rp70.000","Terjual 6","Baru","20 Gram","Lip Cream","Mpok Manda","4.6","Kota Bekasi","NYX Soft Matte Lip Cream ORIGINAL USA ZURICH
BEST SELLER
Ringan, Matte, Pigmented Warnanya, & Tahan lama.

==================================================================================================================
Shade lainnya ada di etalase lain :
https://www.tokopedia.com/oniqioa/nyx-soft-matte-lip-cream-smlc

https://www.tokopedia.com/oniqioa/nyx-soft-matte-lip-cream-smlc-tokyo-london-sydney-cairo


========================================================================================================================
*Weekend slow response & Off Shipping
**NO RESI akan diinput H+1 Pengiriman & paling lambat H+3 Pengiriman
(kalau belum diinput no resinya bukan berarti belum dikirim ya sis)","https://images.tokopedia.net/img/cache/100-square/product-1/2016/12/15/2766483/2766483_26349356-f656-45bc-ae38-a9edb05a0e47_480_480.jpg.webp?ect=4g"
"1661866029-817","https://www.tokopedia.com/search?navsource=&page=16&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","WARDAH EVERYDAY MATTE LIP SHOTRp35.300CashbackJakarta PusatNeoreul Misoga5.0Terjual 3","https://www.tokopedia.com/neoreulmisoga/wardah-everyday-matte-lip-shot-01-fyp?extParam=ivf%3Dfalse%26src%3Dsearch","WARDAH EVERYDAY MATTE LIP SHOT - 01 FYP","5","(1 rating)","Rp35.300","Terjual 3","Baru","35 Gram","Lip Cream","Neoreul Misoga","4.8","Jakarta Pusat","🌸 WARDAH Every Day! Matte Lip Shot 🌸
Koleksi Lip Series baru dari Wardah dengan 5 varian warna yang fresh.

Keunggulan :
💕 Quick Set
💕 Matte Finish
💕 Vitamin C Infused

Varian :
💕 01 #fyp
💕 02 #throwback
💕 03 #nowplaying
💕 04 #ootd
💕 05 #mood","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/1/30/2120c3d9-cd4e-470b-b725-ae6cc899b40d.jpg.webp?ect=4g"
"1661866999-893","https://www.tokopedia.com/search?navsource=&page=9&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","FEMME || New Shade Superstay Matte Ink Matte Lipcream MAYBELLINERp84.900Kab. SidoarjoFarina Femme5.0Terjual 8","https://www.tokopedia.com/farinafemme/femme-new-shade-superstay-matte-ink-matte-lipcream-maybelline-370-overseer?extParam=ivf%3Dfalse%26src%3Dsearch","FEMME || New Shade Superstay Matte Ink Matte Lipcream MAYBELLINE - 370 overseer","5","(6 rating)","Rp84.900","Terjual 8","Baru","10 Gram","Lip Cream","Farina Femme","4.9","Kab. Sidoarjo","Superstay Matte Ink Liquid Matte Lipstick Maybelline

♡ Sudah Free Bubble Wrap ya kak, pasti AMAN sampai ditempat. Garansi 100% Barang Kembali jika barang diterima mengalami kerusakan/tidak sesuai, Pastikan lampirkan Video UNBOXING yaa♡

Lipstick cair dengan pigmentasi tinggi untuk menutup bibir dalam satu kali oles. Formulanya transferproof dan waterproof dan tidak membuat bibir kering. Dengan hasil akhir matte smampu bertahan hingga 16 jam.

NOTE :
Jika PRODUK HABIS, segera CHAT admin agar PRODUK TERSEDIA untukmu.


💋 Farina FEMME 
      be Fabulous & Inspiring

#SuperstayMatteInkLiquidMatteLipstickMaybelline #SuperstayMatteInkLiquidMatteLipstick #SuperstayMatteInkLipstickMaybelline #SuperstayMatteInkLiquidMatteMaybelline #LiquidMatteLipstickMaybelline #SuperstayMatteInkLiquidMatte #LipstickMaybelline #maybellinejawatimur #maybellinesurabaya #maybellinesidoarjo #kosmetikjawatimur #kosmetiksurabaya #kosmetiksidoarjo","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/14/700ea6fe-c208-46c2-b179-8f95118d6363.jpg.webp?ect=4g"
"1661857930-557","https://www.tokopedia.com/search?navsource=&page=20&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","Madame Gie Lip Cream Always On. Lip Cream. Lipstik. Make Up BibirRp16.300Jakarta BaratFitMiss5.0Terjual 3","https://www.tokopedia.com/fitmiss/madame-gie-lip-cream-always-on-lip-cream-lipstik-make-up-bibir-always-on-01?extParam=ivf%3Dfalse%26src%3Dsearch","Madame Gie Lip Cream Always On. Lip Cream. Lipstik. Make Up Bibir - Always On 01","5","(2 rating)","Rp16.300","Terjual 3","Baru","25 Gram","Lip Cream","FitMiss","5.0","Jakarta Barat","Lip cream dengan formula matte intens yang tetap terasa lembut ala powdery-velvet dan tahan lama. Memiliki tekstur yang ringan dan tidak terasa berat di bibir. Dilengkapi dengan aplikator yang presisi untuk pemakaian yang lebih mudah.

Varian:
01 
02 
03
04
05
06

1. Warna intens
2. Ringan
3. Tahan Lama
4. Waterproof

Cara Pakai:
Pada bibir atas, oleskan lip cream mulai dari cuping bibir ke sekitar garis bibir, lalu ratakan warna ke seluruh bagian bibir. Ulangi pada bibir bawah.

Tambahkan Bubble Wrap dikeranjang belanja untuk meningkatkan keamanan produk saat pengiriman

Mohon Sertakan Varian Warna di Pesan Pembeli Terimakasih

Untuk Pembelian & Harga Grosir bisa di Chat Terlebih Dahulu yah kak Terimakasih","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/12/18/a118e9f8-9d10-472d-8646-6e98b5ce0413.jpg.webp?ect=4g"
"1661867470-921","https://www.tokopedia.com/search?navsource=&page=3&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","WARDAH Exclusive Matte Lip Cream 4g OriginalHalalRp47.100Jakarta BaratHNCbeauty5.0Terjual 1 rb+","https://www.tokopedia.com/hncbeauty/wardah-exclusive-matte-lip-cream-4g-original-02-fusachionate?extParam=ivf%3Dfalse%26src%3Dsearch","WARDAH Exclusive Matte Lip Cream 4g Original - 02 Fusachionate","5","(224 rating)","Rp47.100","Terjual 1 rb+","Baru","33 Gram","Lip Cream","HNCbeauty","4.9","Jakarta Barat","WARDAH Exclusive Matte Lip Cream 4g Original
100% ORIGINAL
ada nomor BPOM tertera di kemasan

Tersedia Warna :
01. Red Dictro
02. Fusachionately
03. See You Latte
04. Pink Me
05. Speachless
06. Light Red
07. Hello Ruby
08. Pinkcredible
09. Mauve On
10. Berry Pretty
11. Oh So Nude
12. Plum It Up 
13. Fruit Punch 
14. My Honey Bee
15. Pinky Plumise 
16. HEART BEET - NEW SHADE 
17. ROSY CHEEK - NEW SHADE
18. SATURDATE NIGHT - NEW SHADE

#wardah #lipcream #liptint #lipstick #matte #mayyelipcream #wardahlip #wardahlipcream #cosmetic #kosmetikbibir #lipcosmetic","https://images.tokopedia.net/img/cache/100-square/product-1/2020/4/2/1400773/1400773_58ba248b-7497-43f5-a84a-e2785371c34c_1149_1149.webp?ect=4g"
"1661866536-864","https://www.tokopedia.com/search?navsource=&page=15&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","WARDAH EXCLUSIVE MATTE LIP CREAMRp54.900Jakarta SelatanD'ARTIS BEAUTY CARE4.6Terjual 70+","https://www.tokopedia.com/dartis/wardah-exclusive-matte-lip-cream?extParam=ivf%3Dfalse%26src%3Dsearch","WARDAH EXCLUSIVE MATTE LIP CREAM","4.6","(25 rating)","Rp54.900","Terjual 70+","Halal","Baru","null","D'ARTIS BEAUTY CARE","4.8","Jakarta Selatan","wardahexclusive matte lip cream terbaru dengan 12 pilihan warna, :

- 01 Red-dicted 
- 02 Fuschionately (kosong)
- 03 See You Late
- 04 Pink Me
- 05 Speachless
- 06 Feeling red
- 07 Hello Ruby 
- 08 Pinkredible 
-09 Mauve On
- 10 Berry Pretty
- 11 Oh so Nude
-12 Plum It Up 

Wardah Exclusive Matte Lip Cream adalah lip cream terbaru dari produk Wardah dengan warna pigmennya yang begitu memikat serta diperkaya oleh Vitamin E yang berfungsi untuk menjaga kelembapan bibir sehingga bibir tetap sehat, terawat. Hasilnya matte tanpa membuat bibir Anda kering dan long lasting. Cocok digunakan untuk pemakaian sehari-hari.

Kemasan lip creamnya yang praktis sangat mudah untuk Anda gunakan sepanjang hari. Sangat praktis, tidak mudah tumpah dan mudah dibawa kemana saja.","https://images.tokopedia.net/img/cache/100-square/product-1/2017/4/20/340416/340416_612549e2-67b7-42d5-a6fd-c9442c3e042f.jpg.webp?ect=4g"
"1661860353-710","https://www.tokopedia.com/search?navsource=&page=18&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","NEW WARDAH Exclusive Matte Lip CreamRp55.000GrosirKab. BogoristiqomahF8online5.0Terjual 1","https://www.tokopedia.com/usahaberkah2018/new-wardah-exclusive-matte-lip-cream?extParam=ivf%3Dfalse%26src%3Dsearch","NEW WARDAH Exclusive Matte Lip Cream","5","(1 rating)","Rp55.000","Terjual 1","Halal","Baru","null","istiqomahF8online","4.9","Kab. Bogor","Lushlip Liquid & Colorbinding Pigments dengan tesktur velvet creamy sekali oles, ringan,intens dan lembut, serta memberikan efek matte yang cepat kering dan tidak lengket. Variasi warna mewah sempurna dapat bertahan lama di bibir sepanjang hari.

How to use:
1. Aplikasikan lipstik di bagian dalam bibir.
2. Gunakan ujung aplikator untuk merapikan pulasan lipstik hingga ke bagian ujung bibir.
3. Gunakan hingga seluruh warna merata di bibir cantikmu.","https://images.tokopedia.net/img/cache/100-square/product-1/2020/1/20/30434119/30434119_097854cc-c9d1-4364-9b17-0fbb234cbd70_501_501.webp?ect=4g"
"1661866067-821","https://www.tokopedia.com/search?navsource=&page=16&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","WARDAH Colorfit Velvet Matte Lip MousseHalalRp61.20015%Rp72.000Palembangjselectiv by JHON Putra Kosmetik5.0Terjual 40+","https://www.tokopedia.com/jselectiv/wardah-colorfit-velvet-matte-lip-mousse-01-brown-dream?extParam=ivf%3Dfalse%26src%3Dsearch","WARDAH Colorfit Velvet Matte Lip Mousse - 01 Brown Dream","5","(24 rating)","Rp61.200","Terjual 40+","Halal","Baru","null","jselectiv by JHON Putra Kosmetik","5.0","Kota Palembang","#pastiORI #pastiBPOM #pastiEDPANJANG (di atas 1 tahun) - Tidak Perlu Ditanyakan

1. Chat (umumnya) direspon dalam waktu +/- 10 menit (Senin-Sabtu 09.00-17.00 / Minggu 09.00-15.00)

2. PENGIRIMAN KURIR : H+1 Pesanan Masuk (Pesanan masuk SEBELUM 09.00 masih dapat proses masuk pengiriman di hari yang sama) - INSTAN Gojek/Grab 09.00-17.00 (Minggu 09.00-15.00)

3. Japri sebelum CO (Check Out) disarankan mengingat setiap prodak dapat terjual di Offline tanpa sempat ter-update di Stok Aplikasi. Pesanan dgn varian/item kosong/habis yang masuk ke Seller tanpa Japri sebelum CO, akan Seller konfirmasi via Chat, bila tidak ada balasan hingga batas waktu Masa Pengemasan = Refund atau Seller kirimkan random.

4. Semua Pesanan akan diproses packing sebaik seaman mungkin; FREE BUBBLE hanya untuk produk Beauty (dekoratif) dan produk dgn kemasan kaca. Kerusakan diakibatkan kecerobohan Kurir pilihan Buyer sendiri adalah di luar tanggung jawab Seller. Seller menerapkan kebijakan #CerdasBelanjaOnline dengan NO UNBOXING VIDEO = NO COMPLAINTS

5. Proses pengiriman menggunakan Kurir adalah proses yang berjalan otomatis. Buyer tidak dapat mengganti nama/alamat pengiriman

Have a nice day 😉","https://images.tokopedia.net/img/cache/100-square/product-1/2020/4/29/15391518/15391518_0dcac57d-fa8f-4db7-8e53-6a2531cc85c6_700_700.webp?ect=4g"
"1661866106-825","https://www.tokopedia.com/search?navsource=&page=16&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","Lipstick Lip Color Maybelline Lip Matte Superstay 15 LoverRp135.000Jakarta UtaraRarity4.5Terjual 4","https://www.tokopedia.com/rarity/lipstick-lip-color-maybelline-lip-matte-superstay-15-lover?extParam=ivf%3Dfalse%26src%3Dsearch","Lipstick Lip Color Maybelline Lip Matte Superstay 15 Lover","4.5","(2 rating)","Rp135.000","Terjual 4","Baru","300 Gram","Lip Cream","Rarity","4.8","Jakarta Utara","Maybelline Super Stay Matte Ink Lip Color 15 Lover.
Lip cream tahan lama.
Kondisi baru dan segel.","https://images.tokopedia.net/img/cache/100-square/product-1/2019/2/21/967876/967876_202ffccc-5dac-4ba8-8d3b-f77801491bbe_1512_1512.jpg.webp?ect=4g"
"1661866352-849","https://www.tokopedia.com/search?navsource=&page=16&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","Wardah Exclusive Matte LipcreamHalalRp50.200MojokertoSehat Ayu kosmetik5.0Terjual 26","https://www.tokopedia.com/sehatayukosmetik/wardah-exclusive-matte-lipcream?extParam=ivf%3Dfalse%26src%3Dsearch","Wardah Exclusive Matte Lipcream","5","(10 rating)","Rp50.200","Terjual 26","Halal","Baru","null","Sehat Ayu kosmetik","5.0","Kota Mojokerto","Lushlip Liquid & Colorbinding Pigments dengan tesktur velvet creamy sekali oles, ringan,intens dan lembut, serta memberikan efek matte yang cepat kering dan tidak lengket. Variasi warna mewah sempurna dapat bertahan lama di bibir sepanjang hari.

Wardah Exclusive Matte Lip Cream hadir dalam 18 shades yang variatif. Mulai dari warna nude, pink, peach, hingga merah dapat Anda temukan pada koleksi ini.

#kosmetikmurah #kosmetikbibir #lipcream #wardah #wardahexclusive #wardahlipcream #mattelipcream","https://images.tokopedia.net/img/cache/100-square/product-1/2019/7/25/70219394/70219394_9168fdee-c7a3-45b1-b162-272ddb93cb75_640_640.webp?ect=4g"
"1661864809-733","https://www.tokopedia.com/search?navsource=&page=18&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","WARDAH Colorfit Last All Day Lip PaintRp63.000CashbackMalangToko Raya Malang5.0Terjual 1","https://www.tokopedia.com/tokorayamalang/wardah-colorfit-last-all-day-lip-paint-01-peach-till-d?extParam=ivf%3Dfalse%26src%3Dsearch","WARDAH Colorfit Last All Day Lip Paint - 01 Peach Till D","5","(1 rating)","Rp63.000","Terjual 1","Baru","100 Gram","Lip Cream","Toko Raya Malang","4.9","Kota Malang","1. Aplikasikan lipstik pada bibir.
2. Gunakan jari atau aplikator untuk merapikan pulasan lipstik hingga ke bagian ujung bibir.
3. Gunakan hingga seluruh warna merata di bibir cantikmu.","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/12/29/57ce7119-32d7-4f91-a9fe-0cf9896e7743.jpg.webp?ect=4g"
"1661860373-712","https://www.tokopedia.com/search?navsource=&page=18&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","Lip Matte Mia Glansie 7 Shades Lipstik Lip Cream not wardah/MIA GLANSIRp14.000Kab. SlemanPRODUSEN SIRINE PATWAL5.0Terjual 10","https://www.tokopedia.com/sirinepatwal/lip-matte-mia-glansie-7-shades-lipstik-lip-cream-not-wardah-mia-glansi-thyra?extParam=ivf%3Dfalse%26src%3Dsearch","Lip Matte Mia Glansie 7 Shades Lipstik Lip Cream not wardah/MIA GLANSI - THYRA","5","(4 rating)","Rp14.000","Terjual 10","Baru","80 Gram","Lip Cream","PRODUSEN SIRINE PATWAL","4.7","Kab. Sleman","Kondisi: Baru
Berat: 500 Gram
Kategori: Lipstik
Etalase: Semua Etalase
Mia Glansie Lip Matte 7 Shades Of Mine Original BPOM

Lipmatte “7 shades"" ada 7 pilihan warna yang cantik dan menarik. Shadenya cocok digunakan di segala acara dan suasana. Tinggal kamu sesuaiin aja deh😉,pastinya tahan lama dan tidak kering

Varian Shade:


1.Thyra (Warna merah agak gelap. Memberikan kesan gothic yang misterius)
2.Deny (Warna ungu kecoklatan. Punya kesan elegan dan berkelas)
3.Indie (Warna pink gelap agak ungu muda. Pas buat kamu yang suka tampil unik)
4.Addicted (Warna nude krem. Shade paling nude dari semuanya)
5.Cheyza (Warna pink fuchia dengan hasil kalem)
6.Edmund (Warnanya merah darah. Menimbulkan kesan glamour)
7.Mayla (Warna pink nude. Cocok buat kamu yang pengen kelihatan cute)

Kelebihan GLANSIE lipmatte :

Sudah terdaftar resmi di BPOM
1. Mengandung VIT E dan Squalane yang nggak bikin bibir kering
2. Teksturnya ringan dan creamy
3. Aroma Vanilla yang enak banget
4. Pigmented, menutup warna bibir asli dengan sempurna
5. Cepat kering dan meresap
6. Non transfer, jadi nggak gampang nempel di mana-mana
7. Longlasting seharian banget
8. Walaupun dipakai seharian dan makan makanan berminyak, lipmatte tetap menempel

Aman digunakan untuk ibu hamil dan ibu menyusui.
Aman juga digunakan untuk remaja usia 15 th

 Barang ready silahkn di order...................","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/19/836f1b84-e5ba-4f09-8870-a5cdade9dda0.jpg.webp?ect=4g"
"1661865221-765","https://www.tokopedia.com/search?navsource=&page=17&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","nyx soft matte lip cream originalRp90.000GrosirDepokpalupi toserba muslimah4.7Terjual 50+","https://www.tokopedia.com/palupi-tm/nyx-soft-matte-lip-cream-original?extParam=ivf%3Dfalse%26src%3Dsearch","nyx soft matte lip cream original","4.7","(30 rating)","Rp90.000","Terjual 50+","Baru","20 Gram","Lip Cream","palupi toserba muslimah","4.8","Kota Depok","ready stok: (lengkap kecuali antwerp... antwerp ada di kategori lainnya)
- milan
- addis ababa
- morocco
- cairo
- buenos aires
- monte carlo
- copenhagen
- amsterdam
- istanbul
- canness
- ibiza
- san paulo
- zurich
- stockholm
- amsterdam
- tokyo
- sydney
- transylvania
- london
- san paulo
- prague","https://images.tokopedia.net/img/cache/100-square/product-1/2015/11/5/21437977/21437977_2a21e553-0eba-420c-8822-bcefaf83ca4b.jpg.webp?ect=4g"
"1661858986-596","https://www.tokopedia.com/search?navsource=&page=20&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","Wardah Colorfit Fresh matte lip ink || wardah fresh matte lip serumRp53.070Jakarta BaratViryaBeautyShop5.0Terjual 5","https://www.tokopedia.com/viryabeautyshop/wardah-colorfit-fresh-matte-lip-ink-wardah-fresh-matte-lip-serum-08?extParam=ivf%3Dfalse%26src%3Dsearch","Wardah Colorfit Fresh matte lip ink || wardah fresh matte lip serum - 08","5","(2 rating)","Rp53.070","Terjual 5","Baru","100 Gram","Lip Cream","ViryaBeautyShop","4.9","Jakarta Barat","Wardah Colorfit Fresh Matte Lip Ink


Wardah Colorfit Fresh Matte Ink 4gr

Keunggulan produk

-Hasil matte 
-Tidak menempel di gelas
-Tahan 12 jam cocok untuk di pakai sebelum beraktifitas
-Tidak lengket,ringan di gunakan setiap hari


Tersedia dalam 8 varian warna 

01 Energy Shot

02 Smart Cookie

03 High Rise

04 Speedster

05 Soul Mover

06 Hyped Up

07 Busy Bee

08 Go Getter","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/1/29/1331c6ea-92e2-4edd-8f16-bc3749659d32.jpg.webp?ect=4g"
"1661859534-640","https://www.tokopedia.com/search?navsource=&page=19&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","Lipmatte Wardah Instaperfect Mattesetter Lip Matte Paint - 07 DazzleRp93.000CashbackKab. BekasiSerba Serbi Nasakha4.0Terjual 1","https://www.tokopedia.com/serbaserbinasakha/lipmatte-wardah-instaperfect-mattesetter-lip-matte-paint-07-dazzle?extParam=ivf%3Dfalse%26src%3Dsearch","Lipmatte Wardah Instaperfect Mattesetter Lip Matte Paint - 07 Dazzle","4","(1 rating)","Rp93.000","Terjual 1","Baru","300 Gram","Lip Cream","Serba Serbi Nasakha","4.9","Kab. Bekasi","Cara Penggunaan
1. Aplikasikan lip matte paint di bagian dalam bibir 
2. Gunakan ujung aplikator untuk merapikan pulasan lipstick hingga ke bagian ujung bibir 
3. Gunakan hingga seluruh warna merata di bibir cantikmu","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/18/d7506438-eb03-4dd8-9cfb-211f069e4cc7.jpg.webp?ect=4g"
"1661866546-865","https://www.tokopedia.com/search?navsource=&page=15&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","wardah colorfit last all day lip paint creamRp63.000CashbackBandungnaurishop5.0Terjual 12","https://www.tokopedia.com/archive-bandungnauri-163/wardah-colorfit-last-all-day-lip-paint-cream-13?extParam=ivf%3Dfalse%26src%3Dsearch","wardah colorfit last all day lip paint cream - 13","5","(1 rating)","Rp63.000","Terjual 12","Baru","4 Gram","Lip Cream","naurishop","5.0","Kota Bandung","Wardah Colorfit Last All Day Lip Paint merupakan liquid lip dengan matte finish dan tekstur creamy yang mudah dibaurkan serta intense dalam satu usapan (one swipe coverage). Formulanya tidak transfer (non-transfer) dan tahan lama hingga 12 jam (long lasting up to 12 hours) sehingga nyaman digunakan seharian. 
Terdiri dari 6 varian warna wearable yang cocok untuk berbagai skin tone.""","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/5/27/7a5600c9-8a20-4f3d-8a48-7b0461433e1c.jpg.webp?ect=4g"
"1661858930-591","https://www.tokopedia.com/search?navsource=&page=20&q=kosmetik&rt=4%2C5&sc=2228&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product","Lumecolors Velvet Lipcoat Summer Potion Lipcream Lipstick Kosmetik BibRp117.000CashbackYogyakartaprizkasahabatkeluarga5.0Terjual 2","https://www.tokopedia.com/prizkask/lumecolors-velvet-lipcoat-summer-potion-lipcream-lipstick-kosmetik-bib?extParam=ivf%3Dfalse%26src%3Dsearch","Lumecolors Velvet Lipcoat Summer Potion Lipcream Lipstick Kosmetik Bib","5","(2 rating)","Rp117.000","Terjual 2","Baru","60 Gram","Lip Cream","prizkasahabatkeluarga","4.9","Kota Yogyakarta","Lumecolors (with Moisturizer + Antioxidant + UV vilter)
Garansi 100% produk Original 
Netto : 3ml 
BPOM: NA11181304236-40 
HALAL MUI No. 00150090610918 
Selain mengandung UV Filter, Anti Oxidant dan Moisturizer yang dapat mencerahkan bibir dan memberikan nutrisi pada bibir sehingga sangat nyaman dipakai. 

Benchmark dari formulasi Lumecolors ini mulai dari lip matte-nya NYX, hingga DOSE of COLOR yang oleh MUA di luar sana waktu dibuat the battle of lip matte itu juara 1 dan 2-nya Lip matte
Kami betul-betul teliti dalam memilih warna-warnanya, mulai dari benchmark ke warna-warna favorite Charlotte Tilbury, DoC, LimeCrime, sampai ke merek Lokal yang hits. 

💋 Lip Conditioning+Smoothening Formula 
💋 Triple Action Anti Bacteria 
💋 Anti Crack 
💋 Anti UV 
💋 Long Lasting 12 jam. 

Dikemas menggunakan Teknologi Nano dari Korea, Membuat Ringan dan Nyaman Digunakan Sehari-hari. 

KEUNGGULAN LUMECOLORS 
💄 Hasil Matte 
💄 Ringan dan Tidak Panas di Bibir
💄 30 DETIK KERING DI BIBIR 30 Detik Kering di Bibir 
💄 KISS PROOF 
💄 SUPER PIGMENTED 
💄 MENYERAP AIR SEHINGGA BOLEH DI GUNAKAN SAAT SHALAT 

Tersedia 5 pilihan warna yang cantik banget! 
💄💋 BARE WITH ME > Warna Nude Favorite! 
💄💋 SUNSET CHIC > Warna Nude dengan sedikit sentuhan orange 
💄💋 CHOCOLATE TRIP > ini Cocok banget buat yang punya kulit sawo matang, BEST NUDE ever! 
💄💋 ARM CANDY > Warna pinkish yang tetep pink-nya itu pink bibir, duh gemezz banget 
💄💋 KISS OF FIRE > Susah banget loh nemu warna merah yang keren kayak gini, cocok dipake warna kulit apa saja.

NEW COLORS - JUST LAUNCH - Cocok untuk kulit Cerah / Gelap
💄💋  SUMMER POTION 
💄💋 SUNDAY BLISS  
💄💋 CORALINE 
💄💋 DEVIOUS QUEEN 
💄💋 MEMORY OF YOU 

• DISINI AGENT OFFICIAL LUMECOLORS! JAMIN ORIGINAL LOLOS TRACKING! HATI HATI YAH DEAR, DISAAT MEMBELI JANGAN GAMPANG TERGIUR HARGA MURAH, TAKUT BARANG PALSU!! KARENA HARGA ECER & RESELLER SAMA SEMUA!! 

Stock Selalu Ready 

Silahkan Langsung diorder saja...

HAPPY SHOPPING GIRLS 😘😘","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2020/11/4/49ccaae8-ee2d-4996-a6e7-582985bdfb4a.png.webp?ect=4g"
